hhid,hv024,hv025,hv201,hv205,hv206,hv213,hv214,hv215,hv210,hv211,hv212,hv227,hv244,hv247,hv270,sh16_22,shstate
1002,north west,urban,protected well,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,no,no,no,yes,yes,no,richer,,sokoto
1004,north west,urban,tanker truck,ventilated improved pit latrine (vip),yes,"palm, bamboo",cement,zinc/metal,yes,no,yes,yes,yes,yes,richer,,sokoto
1007,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,no,yes,no,yes,no,no,richer,,sokoto
1010,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,yes,yes,yes,yes,no,no,richest,,sokoto
1013,north west,urban,tanker truck,ventilated improved pit latrine (vip),yes,ceramic tiles,cement,zinc/metal,no,yes,yes,yes,no,yes,richest,,sokoto
1016,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,wood planks,cardboard,zinc/metal,no,yes,no,yes,yes,yes,richer,,sokoto
1019,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,plywood,zinc/metal,no,no,yes,yes,no,yes,richest,,sokoto
1022,north west,urban,tanker truck,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,no,yes,no,yes,no,yes,richest,,sokoto
1025,north west,urban,tanker truck,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,no,yes,no,yes,no,yes,richest,,sokoto
1027,north west,urban,tube well or borehole,pit latrine with slab,yes,cement,cement,zinc/metal,no,no,no,no,no,no,richer,,sokoto
1030,north west,urban,sachet water,ventilated improved pit latrine (vip),yes,cement,cement blocks,zinc/metal,no,no,no,no,no,no,richer,,sokoto
1033,north west,urban,public tap/standpipe,pit latrine with slab,yes,cement,cement,zinc/metal,no,no,no,yes,yes,no,richer,,sokoto
1036,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,cement blocks,zinc/metal,no,no,no,yes,no,no,richer,,sokoto
1039,north west,urban,tube well or borehole,pit latrine with slab,yes,cement,cement blocks,zinc/metal,no,no,no,yes,no,no,richer,,sokoto
1042,north west,urban,sachet water,ventilated improved pit latrine (vip),yes,cement,cement blocks,zinc/metal,no,no,no,yes,no,no,middle,,sokoto
1045,north west,urban,sachet water,flush to pit latrine,yes,cement,cement blocks,zinc/metal,yes,no,no,yes,no,yes,richest,,sokoto
1048,north west,urban,sachet water,flush to piped sewer system,yes,ceramic tiles,cement,zinc/metal,no,yes,yes,yes,yes,yes,richest,,sokoto
1051,north west,urban,public tap/standpipe,ventilated improved pit latrine (vip),yes,cement,stone with mud,zinc/metal,no,no,no,yes,no,yes,middle,,sokoto
1053,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,yes,no,yes,yes,no,yes,richest,,sokoto
1056,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,yes,no,no,yes,no,no,richer,,sokoto
1059,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,ceramic tiles,cement,zinc/metal,no,no,yes,yes,no,yes,richest,,sokoto
1062,north west,urban,public tap/standpipe,flush to pit latrine,yes,cement,cement blocks,zinc/metal,no,no,no,no,no,no,richest,,sokoto
1065,north west,urban,tube well or borehole,flush to pit latrine,yes,cement,stone with lime/cement,zinc/metal,no,no,yes,yes,yes,no,richest,,sokoto
1068,north west,urban,tube well or borehole,flush to pit latrine,yes,cement,cement blocks,zinc/metal,no,yes,no,yes,no,no,richer,,sokoto
1071,north west,urban,public tap/standpipe,pit latrine with slab,yes,cement,cement blocks,zinc/metal,no,no,no,yes,no,yes,richest,,sokoto
2003,north west,urban,public tap/standpipe,ventilated improved pit latrine (vip),yes,wood planks,cement,zinc/metal,no,yes,no,yes,no,no,richer,,sokoto
2005,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,wood planks,cement,zinc/metal,no,yes,no,yes,no,yes,richer,,sokoto
2007,north west,urban,public tap/standpipe,ventilated improved pit latrine (vip),yes,wood planks,dirt,zinc/metal,yes,no,no,yes,yes,yes,middle,,sokoto
2009,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,no,no,no,yes,no,yes,richer,,sokoto
2011,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,no,no,no,yes,no,yes,richer,,sokoto
2013,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,ceramic tiles,cement,zinc/metal,no,no,yes,yes,yes,yes,richest,,sokoto
2016,north west,urban,public tap/standpipe,ventilated improved pit latrine (vip),yes,cement,cement,wood,no,yes,no,yes,no,yes,richest,,sokoto
2018,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),yes,cement,stone with mud,zinc/metal,no,no,no,yes,no,no,middle,,sokoto
2020,north west,urban,public tap/standpipe,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,no,yes,no,no,no,yes,richest,,sokoto
2022,north west,urban,public tap/standpipe,flush to pit latrine,yes,cement,stone with lime/cement,zinc/metal,yes,no,yes,no,yes,yes,richer,,sokoto
2024,north west,urban,public tap/standpipe,flush to pit latrine,yes,cement,stone with mud,zinc/metal,yes,yes,no,no,no,yes,middle,,sokoto
2026,north west,urban,public tap/standpipe,ventilated improved pit latrine (vip),yes,cement,cement,zinc/metal,no,yes,no,yes,no,yes,richer,,sokoto
2029,north west,urban,tube well or borehole,ventilated improved pit latrine (vip),no,"earth, sand",stone with mud,zinc/metal,no,no,no,no,no,no,middle,,sokoto
2031,north west,urban,public tap/standpipe,flush to pit latrine,yes,cement,stone with mud,zinc/metal,no,no,no,yes,no,yes,richer,,sokoto
2033,north west,urban,public tap/standpipe,pit latrine without slab/open pit,yes,cement,stone with mud,zinc/metal,no,no,no,no,no,yes,richer,,sokoto
2035,north west,urban,tube well or borehole,pit latrine with slab,no,"earth, sand",stone with mud,zinc/metal,no,no,no,yes,yes,no,middle,,sokoto
2037,north west,urban,public tap/standpipe,pit latrine with slab,yes,cement,stone with lime/cement,zinc/metal,no,no,no,yes,no,yes,richer,,sokoto
2039,north west,urban,piped into dwelling,pit latrine without slab/open pit,yes,"earth, sand",bamboo with mud,thatch/palm leaf,no,no,no,yes,yes,no,poorest,,sokoto
2042,north west,urban,piped to yard/plot,pit latrine with slab,yes,cement,bamboo with mud,calamine/cement fiber,yes,no,no,no,yes,yes,richer,,sokoto
2044,north west,urban,piped to yard/plot,pit latrine without slab/open pit,yes,"earth, sand",bamboo with mud,thatch/palm leaf,no,yes,no,yes,yes,yes,poorest,,sokoto
2048,north west,urban,piped into dwelling,pit latrine without slab/open pit,yes,ceramic tiles,cement,calamine/cement fiber,no,no,no,no,no,yes,richer,,sokoto
2050,north west,urban,unprotected well,pit latrine without slab/open pit,no,cement,cement,cement,no,yes,no,no,yes,yes,poorest,,sokoto
2052,north west,urban,piped into dwelling,pit latrine with slab,yes,"vinyl, asphalt strips",bamboo with mud,wood,no,no,no,yes,no,yes,middle,,sokoto
2054,north west,urban,sachet water,pit latrine with slab,no,cement,bamboo with mud,thatch/palm leaf,no,no,no,no,no,yes,middle,,sokoto
3002,north west,rural,tube well or borehole,no facility/bush/field,no,"earth, sand",stone with lime/cement,wood planks,no,no,yes,yes,yes,yes,poorest,,sokoto
3003,north west,rural,tube well or borehole,ventilated improved pit latrine (vip),no,"earth, sand",stone with lime/cement,wood planks,no,yes,no,yes,yes,no,poorer,,sokoto
3005,north west,rural,protected well,no facility/bush/field,no,"earth, sand",bamboo with mud,palm/bamboo,no,yes,no,yes,yes,no,poorest,,sokoto
3007,north west,rural,unprotected well,no facility/bush/field,no,"earth, sand",stone with lime/cement,wood planks,no,yes,no,yes,yes,no,poorer,,sokoto
3008,north west,rural,unprotected well,no facility/bush/field,no,"earth, sand",stone with lime/cement,wood planks,no,no,no,yes,yes,no,poorer,,sokoto
3010,north west,rural,tube well or borehole,no facility/bush/field,no,"earth, sand",stone with mud,palm/bamboo,no,no,no,yes,yes,no,poorest,,sokoto
3012,north west,rural,tube well or borehole,no facility/bush/field,no,wood planks,stone with lime/cement,palm/bamboo,no,no,no,yes,yes,no,poorer,,sokoto
