hhid,hv024,hv025,hv201,hv205,hv206,hv213,hv214,hv215,hv210,hv211,hv212,hv227,hv244,hv247,hv270,sh16_22,shstate
1002,3,1,31,21,1,34,31,31,0,0,0,1,1,0,4,,10
1004,3,1,61,21,1,22,31,31,1,0,1,1,1,1,4,,10
1007,3,1,21,21,1,34,31,31,0,1,0,1,0,0,4,,10
1010,3,1,21,21,1,34,31,31,1,1,1,1,0,0,5,,10
1013,3,1,61,21,1,33,31,31,0,1,1,1,0,1,5,,10
1016,3,1,21,21,1,21,25,31,0,1,0,1,1,1,4,,10
1019,3,1,21,21,1,34,24,31,0,0,1,1,0,1,5,,10
1022,3,1,61,21,1,34,31,31,0,1,0,1,0,1,5,,10
1025,3,1,61,21,1,34,31,31,0,1,0,1,0,1,5,,10
1027,3,1,21,22,1,34,31,31,0,0,0,0,0,0,4,,10
1030,3,1,72,21,1,34,34,31,0,0,0,0,0,0,4,,10
1033,3,1,13,22,1,34,31,31,0,0,0,1,1,0,4,,10
1036,3,1,21,21,1,34,34,31,0,0,0,1,0,0,4,,10
1039,3,1,21,22,1,34,34,31,0,0,0,1,0,0,4,,10
1042,3,1,72,21,1,34,34,31,0,0,0,1,0,0,3,,10
1045,3,1,72,13,1,34,34,31,1,0,0,1,0,1,5,,10
1048,3,1,72,11,1,33,31,31,0,1,1,1,1,1,5,,10
1051,3,1,13,21,1,34,22,31,0,0,0,1,0,1,3,,10
1053,3,1,21,21,1,34,31,31,1,0,1,1,0,1,5,,10
1056,3,1,21,21,1,34,31,31,1,0,0,1,0,0,4,,10
1059,3,1,21,21,1,33,31,31,0,0,1,1,0,1,5,,10
1062,3,1,13,13,1,34,34,31,0,0,0,0,0,0,5,,10
1065,3,1,21,13,1,34,32,31,0,0,1,1,1,0,5,,10
1068,3,1,21,13,1,34,34,31,0,1,0,1,0,0,4,,10
1071,3,1,13,22,1,34,34,31,0,0,0,1,0,1,5,,10
2003,3,1,13,21,1,21,31,31,0,1,0,1,0,0,4,,10
2005,3,1,21,21,1,21,31,31,0,1,0,1,0,1,4,,10
2007,3,1,13,21,1,21,13,31,1,0,0,1,1,1,3,,10
2009,3,1,21,21,1,34,31,31,0,0,0,1,0,1,4,,10
2011,3,1,21,21,1,34,31,31,0,0,0,1,0,1,4,,10
2013,3,1,21,21,1,33,31,31,0,0,1,1,1,1,5,,10
2016,3,1,13,21,1,34,31,32,0,1,0,1,0,1,5,,10
2018,3,1,21,21,1,34,22,31,0,0,0,1,0,0,3,,10
2020,3,1,13,21,1,34,31,31,0,1,0,0,0,1,5,,10
2022,3,1,13,13,1,34,32,31,1,0,1,0,1,1,4,,10
2024,3,1,13,13,1,34,22,31,1,1,0,0,0,1,3,,10
2026,3,1,13,21,1,34,31,31,0,1,0,1,0,1,4,,10
2029,3,1,21,21,0,11,22,31,0,0,0,0,0,0,3,,10
2031,3,1,13,13,1,34,22,31,0,0,0,1,0,1,4,,10
2033,3,1,13,23,1,34,22,31,0,0,0,0,0,1,4,,10
2035,3,1,21,22,0,11,22,31,0,0,0,1,1,0,3,,10
2037,3,1,13,22,1,34,32,31,0,0,0,1,0,1,4,,10
2039,3,1,11,23,1,11,21,12,0,0,0,1,1,0,1,,10
2042,3,1,12,22,1,34,21,33,1,0,0,0,1,1,4,,10
2044,3,1,12,23,1,11,21,12,0,1,0,1,1,1,1,,10
2048,3,1,11,23,1,33,31,33,0,0,0,0,0,1,4,,10
2050,3,1,32,23,0,34,31,35,0,1,0,0,1,1,1,,10
2052,3,1,11,22,1,32,21,32,0,0,0,1,0,1,3,,10
2054,3,1,72,22,0,34,21,12,0,0,0,0,0,1,3,,10
3002,3,2,21,31,0,11,32,23,0,0,1,1,1,1,1,,10
3003,3,2,21,21,0,11,32,23,0,1,0,1,1,0,2,,10
3005,3,2,31,31,0,11,21,22,0,1,0,1,1,0,1,,10
3007,3,2,32,31,0,11,32,23,0,1,0,1,1,0,2,,10
3008,3,2,32,31,0,11,32,23,0,0,0,1,1,0,2,,10
3010,3,2,21,31,0,11,22,22,0,0,0,1,1,0,1,,10
3012,3,2,21,31,0,21,32,22,0,0,0,1,1,0,2,,10
3014,3,2,21,31,0,11,22,23,0,0,0,1,1,0,1,,10
3015,3,2,21,31,0,11,32,31,0,0,0,1,1,0,2,,10
3017,3,2,21,31,0,34,22,31,0,0,0,1,1,0,2,,10
3019,3,2,21,31,0,34,22,31,1,1,0,0,1,1,2,,10
3020,3,2,21,31,0,34,22,31,0,1,1,1,1,0,1,,10
3022,3,2,21,31,0,34,22,31,0,1,0,1,1,0,1,,10
3024,3,2,32,31,0,34,22,31,0,1,1,1,1,0,2,,10
3026,3,2,21,31,0,34,22,31,0,1,0,1,1,0,2,,10
3027,3,2,21,31,0,34,22,32,0,0,0,1,1,0,1,,10
3029,3,2,21,31,0,34,22,31,1,0,0,0,1,0,2,,10
3031,3,2,21,31,0,11,22,22,0,0,0,1,1,0,1,,10
3033,3,2,21,31,0,11,32,32,0,0,0,1,1,0,2,,10
3034,3,2,21,31,0,11,32,22,0,0,0,1,1,0,2,,10
3036,3,2,21,21,0,11,32,23,0,0,0,1,1,1,3,,10
3038,3,2,32,31,0,11,22,13,0,0,0,1,1,0,1,,10
3039,3,2,32,31,0,11,22,13,0,0,0,1,1,0,1,,10
3041,3,2,32,31,0,11,22,13,0,0,0,1,1,0,2,,10
3043,3,2,32,31,0,11,22,13,0,1,0,1,1,0,1,,10
4002,3,2,32,23,0,11,21,12,0,0,0,1,1,0,1,,10
4005,3,2,32,22,0,11,21,11,0,0,0,1,1,0,1,,10
4008,3,2,32,23,0,11,21,12,0,0,0,0,1,0,1,,10
4011,3,2,32,22,0,11,21,12,0,0,0,1,1,0,1,,10
4013,3,2,32,23,0,11,12,12,0,0,0,0,1,0,1,,10
4016,3,2,32,23,0,11,12,11,0,0,0,1,1,0,1,,10
4019,3,2,32,23,0,11,12,12,0,0,0,0,1,0,1,,10
4022,3,2,32,31,0,11,21,23,0,1,0,0,1,0,1,,10
4025,3,2,32,31,0,11,31,22,0,0,0,1,1,0,2,,10
4028,3,2,32,21,0,11,32,22,0,0,0,1,1,0,1,,10
4030,3,2,31,21,0,21,13,23,0,0,0,1,1,0,3,,10
4033,3,2,32,31,0,11,21,23,0,0,0,1,1,0,1,,10
4036,3,2,32,31,0,11,22,22,0,0,0,1,1,0,2,,10
4039,3,2,32,31,0,34,25,31,0,0,0,1,1,0,1,,10
4042,3,2,32,31,0,11,21,11,0,0,0,0,0,0,2,,10
4045,3,2,32,31,0,11,31,22,1,0,0,1,1,1,1,,10
4047,3,2,32,23,0,11,21,12,0,0,0,1,1,0,1,,10
4050,3,2,42,31,0,11,22,31,1,0,0,0,1,1,2,,10
4053,3,2,42,31,0,11,22,31,0,1,0,0,0,0,1,,10
4056,3,2,42,31,0,11,22,31,0,0,0,1,1,0,2,,10
4059,3,2,42,31,0,11,22,31,0,0,0,1,1,1,1,,10
4062,3,2,42,31,0,11,22,31,0,0,0,1,0,0,1,,10
4065,3,2,42,31,0,11,32,31,1,1,0,1,1,0,2,,10
4067,3,2,42,31,0,11,22,31,0,0,0,1,1,0,1,,10
4070,3,2,42,31,0,11,22,12,0,0,0,1,1,0,1,,10
5003,3,2,32,23,0,12,21,22,0,0,0,1,1,0,1,,10
5006,3,2,32,23,0,11,21,12,1,1,0,1,1,0,2,,10
5008,3,2,32,23,0,11,21,12,0,0,0,1,1,0,1,,10
5011,3,2,32,23,0,34,21,12,1,0,0,1,1,0,1,,10
5013,3,2,32,23,0,11,21,12,0,0,0,0,1,0,1,,10
5016,3,2,32,23,0,11,21,12,0,0,0,1,1,0,1,,10
5019,3,2,32,23,0,11,21,12,0,1,0,1,1,0,1,,10
5021,3,2,32,23,0,11,21,12,0,0,0,1,1,0,2,,10
5024,3,2,32,23,0,11,21,12,0,0,0,1,1,0,1,,10
5026,3,2,32,31,0,11,22,13,1,1,0,1,1,0,1,,10
5029,3,2,32,31,0,11,22,13,0,0,0,1,1,0,1,,10
5032,3,2,32,31,0,11,22,31,0,1,0,0,1,0,1,,10
5034,3,2,32,31,0,11,22,12,0,0,0,0,1,0,2,,10
5037,3,2,32,31,0,11,22,31,0,0,0,1,0,0,2,,10
5039,3,2,32,31,0,11,22,31,1,1,0,0,1,0,1,,10
5042,3,2,32,31,0,11,22,31,1,0,0,0,1,0,1,,10
5045,3,2,32,31,0,11,22,31,0,0,0,1,1,0,1,,10
5047,3,2,32,31,0,11,13,23,0,1,0,1,1,0,1,,10
5050,3,2,32,31,0,11,31,23,0,1,0,1,1,0,2,,10
5052,3,2,32,31,0,11,31,22,0,1,0,0,1,0,1,,10
